1,Company,URL,Emp Count,Customer Problem & Solution (≈100 words),Key Technologies,Emp Count Source,Count Source Type
43,Thorlux Lighting,thorlux.co.uk,253,"Thorlux Lighting enables commercial and industrial facilities to slash energy costs and carbon emissions without sacrificing visual comfort. Its LED luminaires embed SMART Sensors that blend presence detection, maintained-illuminance algorithms, daylight harvesting, and Motionline group communication to dim or switch off lights automatically. Web dashboards provide real-time monitoring and analytics, guiding further efficiency upgrades and compliance reporting. The modular system retrofits quickly in warehouses, factories, hospitals, or tunnels, delivering safer, smarter, lower-cost illumination through technology-enabled control and insight across large portfolios.",SMART Sensor presence detection; Motionline networking; daylight-harvesting algorithms; LED-driver dimming electronics; energy-monitoring dashboard,Not Specified,Not Specified
45,Esperion Therapeutics,esperion.com,304,"Esperion Therapeutics provides convenient oral solutions for patients needing additional LDL-cholesterol reduction beyond statins. Its proprietary ETC-1002 prodrug platform created bempedoic acid, an ACL inhibitor activated only in the liver, avoiding muscle side effects common with statins. Fixed-dose combinations with ezetimibe deliver greater lipid lowering, and the CLEAR Outcomes cardiovascular-events trial validates long-term benefit. Pipeline research explores triple therapies and metabolic-disease indications, all leveraging Esperion’s chemistry, manufacturing, and regulatory expertise. Clinicians gain a tolerable, once-daily option; payers gain cost-effective risk reduction; and patients gain improved adherence and cardiovascular protection without injections or frequent laboratory monitoring.",ETC-1002 prodrug chemistry; bempedoic-acid ACL inhibition; fixed-dose combination formulation; CLEAR Outcomes analytics; scalable oral manufacturing,Not Specified,Not Specified
80,Fannie Mae,fanniemae.com,"8,200","Community lenders can’t hold long-term fixed-rate mortgages on balance sheets. Fannie Mae purchases and securitizes conforming loans, injecting daily liquidity so banks can keep originating and borrowers lock affordable rates. Sophisticated risk-pricing, credit-risk transfer, and MBS analytics stabilize the $13 Tn housing market and expand access for first-time and low-income buyers.",Desktop Underwriter AUS; MBS debt-issuance & pricing engines; credit-risk-transfer analytics; Servicing Marketplace APIs; ESG loan-level data feeds,Macrotrends,1 public source
81,Nue,nue.io,100,"SaaS CFOs wrestle with tangled CPQ, billing, and usage-mediation tools that slow launches and revenue recognition. Nue’s Salesforce-native quote-to-revenue platform unifies price-builder, guided selling, subscription/usage billing, and RevRec in a single data model, letting RevOps teams deploy new tiers, PLG checkout, or hybrid contracts in minutes without code. Finance gains real-time ARR and ASC 606 compliance; sellers close deals faster with one workflow.",Salesforce-native CPQ engine; multi-attribute price builder; real-time usage metering; ASC 606 RevRec automation; analytics in CRM,CPQ Integrations,1 public source
571,Evergreen Nephrology,evergreennephrology.com,30,"Dialysis providers and CKD patients juggle treatment schedules, lab results, and dietary guidance across disconnected systems. Evergreen Nephrology offers a clinic network and telehealth suite where nephrologists, dietitians, and social workers share a unified care-management platform. Automated appointment reminders, remote-lab ordering, and patient-education modules improve adherence and quality metrics, reducing hospitalizations and keeping patients closer to home.",Unified EHR; tele-nephrology portal; lab-ordering integration; care-plan dashboards; engagement modules,,Multi 2dary
566,Ubicquia,ubicquia.com,35,"Cities investing in smart streetlights face fragmented sensor ecosystems that hinder actionable insights. Ubicquia’s “Ubicell” retrofit modules attach to existing poles, combining environmental, acoustic, and connectivity sensors on a single platform. Data streams into a cloud dashboard that monitors air quality, noise violations, and public-WiFi—all on shared-power infrastructure. Municipalities deploy fully featured “smart poles” without ripping out luminaires, saving capex and unlocking cross-departmental analytics.",Multi-sensor edge nodes; NB-IoT/LTE backup; PoE connectivity hub; cloud-native analytics portal,,Multi 2dary
82,BODi (Beachbody Company),bodi.com,355,"Millions start fitness programs but quit for lack of structure and accountability. BODi curates 130+ streaming workout series, nutrition plans, and mindset coaching in an all-access subscription. Live-interactive classes, AI-based workout recommendations, and integrated meal tracking keep users engaged longer than static videos, driving measurable weight-loss and wellness outcomes without gym trips.",Personalized video platform; live interactive classes with heart-rate telemetry; macro-tracking meal app; AI program recommender; e-commerce supplement stack,StockAnalysis,1 public source
83,Cloudfy,cloudfy.com,100,"Manufacturers and wholesalers often bolt generic e-commerce on ERP, spawning manual order re-keying and channel conflict. Cloudfy offers a SaaS B2B commerce suite pre-integrated to SAP, Epicor, NetSuite, Sage X3 and supports complex price books, punch-out, and bulk ordering out-of-the-box. Clients launch portals in weeks, cut call-center costs, and lock in digital-first buyers without custom builds.",Headless B2B storefront engine; pre-built ERP connectors; PunchOut2Go gateway; progressive web-app ordering; AI stock & lead-time estimator,LinkedIn,1 public source
84,Gindin Consulting,gindinconsulting.com,1,"Mid-size financial firms lack in-house expertise to harden networks and pass stringent SOC2/FFIEC audits. Gindin Consulting’s solo principal delivers fractional CISO guidance, BCP/DR redesign, and zero-trust network architectures, giving clients senior-level security leadership without full-time overhead.",NIST 800-53 compliance mapping; vendor-risk scoring sheets; AWS/Azure identity hardening scripts; tabletop DR facilitation,gindinconsulting.com,1 public source
85,AVIA Health Innovation,aviahealth.com,36,"Health-system executives face innovation overload—thousands of point solutions, uncertain ROI. AVIA curates a peer network, market-scans digital vendors, and runs rapid-cycle collaboratives so members share due-diligence costs and deploy proven tech faster. Advisory sprints map economics, workflows, and change-management playbooks, accelerating digital-front-door, virtual-care, and AI initiatives.",AVIA Nexus knowledge-graph; vendor-scoring database; collaborative ROI calculators; secure benchmarking portal,Datanyze,1 public source
86,activpayroll,activpayroll.com,281,"Multinational companies juggle dozens of local payroll bureaus, risking compliance fines and over-payments. activpayroll consolidates 150-country payroll, mobility tax, and expatriate services on a single ISO-27001 platform with real-time statutory updates and API hooks to SAP, Workday, and HRIS. Global HR gains one SLA, one dashboard, and assured compliance.",Activ8 global payroll engine; statutory rules library; mobility tax calculator; HRIS integration APIs; analytics on gross-to-net variances,LeadIQ,1 public source
561,Bora Biologics US,borabiologics-us.com,50,"Early-stage manufacturers of biologics struggle with small-batch clinical GMP production due to high minimums and long lead times. Bora Biologics offers fully licensed, multi-product bioreactors and downstream suites at 50L–200L scale, plus analytical support. Their open-access scheduling and quality-by-design workflows let innovators run IND-enabling batches in weeks, not months, without building in-house facilities—accelerating go/no-go decisions and conserving capital.",Single-use bioreactors; ion-exchange chromatography; inline PAT analytics; digital LIMS integration,,Multi 2dary
569,Tug Agency,tugagency.com,50,"Brands struggle to balance creative storytelling with performance marketing. Tug’s integrated team of strategists, designers, and data scientists builds conversion-optimized creatives at scale, using rapid-iteration labs and ad-tech integrations. Their “Creative OS” automates asset adaptation across 50+ formats and dynamically injects personalized elements, driving +20% CTR and +15% ROAS compared to static campaigns—without losing brand consistency.",Creative-automation engine; ad-tech connectors; real-time performance APIs; personalization modules,,Multi 2dary
87,Priority Technology Holdings,prth.com,983,"ISOs and ISVs need omni-channel payments, ACH, and merchant-cash-advance without stitching multiple vendors. Priority’s cloud stack bundles card acquiring, PayFac rails, and back-office treasury into white-label APIs, giving partners instant scale and Net-settle funding, while merchants get unified reporting and working-capital offers.",MX™ merchant platform; PayRight Gateway; real-time API settlement; data-driven MCA underwriting; PCI-Level 1 cloud,StockAnalysis,1 public source
88,Acquco,acqu.co,150,"Amazon FBA founders who want liquidity face opaque brokers, long earn-outs, and brand dilution. Acquco offers tech-enabled 30-day exits with performance-based upside: AI scrapes Seller Central, models TACoS and working-capital needs, then funds acquisition and growth, letting entrepreneurs retain minority stakes.",Marketplace due-diligence AI; dynamic SKU repricing; supply-chain forecasting engine; programmatic ads optimizer; multi-storefront OMS,LinkedIn,1 public source
89,Rakuten Group,rakuten.com,"32,000","Merchants and consumers seek rewards across e-commerce, fintech, and telecom silos. Rakuten unifies loyalty, payments, banking, and marketplace services on a single ID, turning cross-business data into personalized cashback, ads, and fintech offers that raise LTV. Its mobile-native ecosystem now spans 70+ businesses globally.",Rakuten ID graph; SixthSense AI CX engine; Rakuten Pay super-app; Viber communications layer; cloud Open RAN mobile network,Reuters,1 public source
90,Intercept Pharmaceuticals,interceptpharma.com,341,"Patients with rare liver diseases have limited oral options once first-line treatments fail. Intercept discovered obeticholic acid—the first FXR agonist approved for PBC—and is advancing next-gen fixed-dose combos and fibrosis candidates. Its regulatory, supply-chain, and PSP infrastructure help hepatologists start and monitor therapy quickly, improving outcomes in high-unmet-need populations.",FXR ligand design platform; real-world safety registry; specialty-pharmacy PSP portal; scalable small-molecule manufacturing,Tracxn,1 public source
91,Virgin Group,virgin.com,"71,000","Scale-ups in travel, telecom, health, and space need global brand trust and cross-sector synergies they can’t build alone. Virgin licenses its iconography, customer-service IP, and investment muscle to joint-ventures, injecting instant credibility and experience that accelerates market entry while sharing downside risk.","Virgin Red super-loyalty app; brand‐licensing frameworks; group shared-services (CX, sustainability); Virgin Innovations venture platform",Wikipedia,1 public source
93,Choreograph (WPP),choreograph.com,900,"Marketers drowning in fragmented IDs, cookies, and clean-room pixels can’t build durable audience strategy. Choreograph stitches advertiser, publisher, and retail data through privacy-safe collaboration tech, layered with AI modeling, to plan, activate, and optimize media across GroupM at global scale—turning “data exhaust” into deterministic lift.",InfoSum privacy mesh; Alive ID deterministic graph; AI geospatial & agentic-AI models; Open Media Studio APIs; real-time planning UI,LinkedIn,1 public source
94,RJM Advisors,rjmadvisors.com,10,"Mid-market brands often deploy costly MarTech but still lack CRM strategy that drives lifetime value. RJM Advisors delivers fractional CRM leadership—audits data, designs automated journeys, and stands up loyalty analytics—so companies convert dormant lists into growth without adding permanent headcount.",HubSpot/Salesforce orchestration; CDP segmentation blueprints; trigger-based email/SMS flows; KPI scorecards,rjmadvisors.com,1 public source
95,Meganexus,meganexus.com,100,"Justice, health, and community agencies juggle legacy case-management tools that can’t share data securely. Meganexus’ secure SaaS modules (CAPTR, COMPLY, GENAIE) give front-line staff a single view of citizens, action plans, and outcomes while meeting MoJ, NHS, and GDPR standards, reducing re-offending and administrative overhead.",ISO-27001 cloud; role-based portals; form-builder workflow engine; analytics dashboard; Azure hosting with CI/CD,LeadIQ,1 public source
96,Spaculus Software,spaculus.com,50,"SMEs need custom AI and web apps but can’t afford big-firm rates. Spaculus offers ISO-9001/27001 full-stack dev squads that craft ML, mobile, and SaaS products on fixed-bid sprints, helping clients modernize workflows without growing in-house engineering.",React/Flutter stacks; Azure/GCP cloud migration; GPT-powered chatbots; automated test pipelines; DevSecOps tool-chain,Craft.co,1 public source
97,Osome,osome.com,389,"Entrepreneurs waste days on incorporation, bookkeeping, and multi-country compliance. Osome’s AI-assisted platform pairs human accountants with automated document recognition, reconciliation, and e-sign flows to deliver live financial dashboards, tax filings, and payroll across SG, HK, and UK—so founders focus on growth, not admin.",OCR & doc-classification AI; multi-ledger bookkeeping engine; cross-border e-signature & bank feeds; chat-first client app; API-ready tax filing,LeadIQ,1 public source
98,Heartbeat (Publicis Health),weareheartbeat.com,250,"Challenger pharmaceutical brands lack the budgets and data access enjoyed by “big-pharma” incumbents. Heartbeat’s full-service agency fuses digital-first creative, omnichannel media, and data science to pinpoint niche HCP and patient micro-segments, turning limited spend into disruptive launch momentum that changes prescribing behavior.",Proprietary patient graph “CMD”; multivariate content CMS; AI creative-testing lab; privacy-safe HCP targeting DSP; outcomes-based media models,LeadIQ,1 public source
99,AVEO Oncology,aveooncology.com,150,"Oncologists treating refractory renal-cell carcinoma need VEGF therapy options with better tolerability. AVEO’s tivozanib (FOTIVDA) provides potent, highly selective VEGFR inhibition with a favorable safety profile and is supported by combination and next-line trials. AVEO’s LG Chem backing secures manufacturing and R&D scale, giving clinicians viable options after IO/IO failure.",Structure-based kinase design; real-world data registry; specialty pharmacy distribution; phase III/IV trial network,LeadIQ,1 public source
116,Marmon Aerospace & Defense,marmon-ad.com,73,"Defense primes need cables that endure hypersonic flight, deep-sea pressure and space radiation. Marmon’s Berkshire-Hathaway-owned plants design and build custom fluoropolymer, RF and fiber assemblies, then validate them in AS9100 test labs. By bundling engineering, rapid prototyping and low-rate production under one roof, programs avoid multi-vendor delays and qualify faster, cutting program risk and lifecycle cost.",Radiation-resistant fluoropolymer jacketing; automated concentric lay stranding; laser-etched UID marking; AS9100 EMI/thermal labs; ERP-linked digital traveler,Not Specified,Not Specified
565,Servita,servita.com,150,"Healthcare operators must juggle patient transport, medical devices, and home-health staffing, often via disparate vendors. Servita offers a unified logistics and staffing platform for DME delivery, non-emergency transport, and in-home care scheduling. An AI dispatcher optimizes routes and staffing based on patient acuity, while a mobile app provides ETA and status updates. Providers cut no-shows by 30% and patients gain transparency, reducing administrative burden and improving care continuity.",AI routing & staffing engine; DME inventory tracker; mobile patient app; telematics integration,,Multi 2dary
120,Jebbit,jebbit.com,59,"Marketers losing third-party cookies need zero-party data and engaging UX. Jebbit’s no-code builder lets brands launch personality quizzes, product-finders and shoppable lookbooks in minutes, capturing declared preferences that sync instantly to CDPs and ESPs. Completion rates top 85%, driving higher ROAS and personalization without privacy headaches.",Drag-and-drop experience builder; real-time CDP sync; template library; AI quiz recommendations; mobile-first embeds,Not Specified,Not Specified
76,Pareto Intelligence,paretointel.com,175,"Health plans struggle to unify siloed claims, clinical, and SDoH feeds fast enough to win value-based contracts. Pareto’s cloud platform ingests billions of rows nightly, applying patented AI risk-adjustment, gap-closure, and leakage models that surface under-coded conditions and missed revenue within hours. Interactive workboards let providers validate evidence, trigger member outreach, and reconcile payments, delivering 5-20× ROI and measurable quality gains without standing up huge data teams.",HIPAA-secure lakehouse; ML risk-scoring algorithms; “AU” data fabric; NLP chart-mining; FHIR APIs for real-time writes to EMRs,Growjo,Multi 2dary
123,Bytes Technology Group,bytes.co.uk,1245,"CIOs juggling cloud spend, security and AI licensing need a single partner. Bytes, a top Microsoft and AWS VAR, optimizes software estates, negotiates EA renewals and layers zero-trust tools. Fin-Ops dashboards show usage vs. entitlement in real time, saving customers millions while de-risking audits and breaches.",FinOps license-optimization suite; zero-trust security stack; AI copilot readiness assessment; CSP billing API; ISO-27001 services SOC,Not Specified,Not Specified
125,Intercept Pharmaceuticals,interceptpharma.com,341,"Hepatologists treating primary biliary cholangitis lack oral options once UDCA fails. Intercept’s obeticholic-acid FXR agonist delivers superior ALP reduction and is advancing combo and NASH fibrosis studies. Specialty-pharmacy support speeds prior auth, improving adherence and outcomes in rare-liver populations.",FXR ligand chemistry; real-world safety registry; PSP portal; small-molecule cGMP manufacturing; Phase III fibrosis trials,Not Specified,Not Specified
126,TEXEL Energy Storage,texeles.com,16,"Wind and solar need multi-hour storage cheaper than lithium. Sweden-US TEXEL pairs thermochemical hydrogen with a Stirling engine to deliver 10-hour discharge at <$20/kWh lifecycle cost, using abundant materials and near-zero degradation. Utilities hedge volatility and reach net-zero targets without cobalt or fire risk.",Thermochemical H₂ absorber; hybrid Brayton-Stirling engine; DOE–SRNL co-development; recyclable steel tanks; AI charge-dispatch optimizer,Not Specified,Not Specified
128,Infinite Recovery,infiniterecovery.com,50,"Addiction sufferers often bounce between detox, residential and outpatient providers, derailing sobriety. Austin-based Infinite Recovery offers full-continuum care—medical detox, PHP, IOP and alumni support—under one trauma-informed model. Dedicated family programs and MAT options raise completion rates and long-term recovery odds vs. fragmented treatment.",EMR-integrated telehealth; evidence-based CBT/EMDR tracks; Vivitrol/MAT clinic; alumni app with relapse alerts; outcomes analytics,Not Specified,Not Specified
129,Athena Global Advisors,athenaglobaladvisors.com,137,"Brands with complex stakeholder ecosystems need more than ad agencies. Athena blends McKinsey-level insight with agency execution, delivering data-driven campaigns, C-suite comms and large-scale events that shift perception and revenue. Cross-functional pods move from strategy to activation without hand-offs, giving clients speed and accountability.",Data science & social-listening hub; KPI war-room dashboards; experiential event tech stack; multilingual content studio; agile PM toolset,Not Specified,Not Specified
132,Wunda Group,wundagroup.com,236,"Home retrofits often skip under-floor heating due to slow, wet screeds. Wunda’s low-profile EPS boards combine rapid-heat diffusion and dry install, slashing build time and enabling individual-room smart control. Homeowners gain energy savings and uncluttered walls, while installers enjoy same-day floor finishes.",WundaSmart wireless thermostats; low-profile EPSUFH panels; quick-connect manifolds; cloud commissioning app; renewable-ready heat-pump loops,Not Specified,Not Specified
75,Mile Bluff Medical Center,milebluff.com,270,"Rural families in central Wisconsin often travel long distances or juggle un-coordinated clinics to get specialty, behavioral-health, and rehab services. Mile Bluff integrates a critical-access hospital, five community clinics, senior-living campuses, and outreach programs under one nonprofit, ensuring residents receive ER, surgical, imaging, dialysis, OB-GYN, and telehealth care close to home. Robust care-management teams, in-house labs, and outreach education reduce costly transfers and keep preventive care local, improving outcomes while sustaining independent rural health delivery.",Epic EHR & patient portal; tele-stroke/tele-specialty links; GE diagnostic imaging suite; middleware for HIE exchange; remote-patient-monitoring carts,ContactOut,Multi 2dary
133,North Mill Equipment Finance (NMEF),nmef.com,116,"Small businesses with sub-A credit struggle to finance dump trucks or CNCs. Broker-centric NMEF funds $15k-$1 M deals in 24 hours via AI credit and seasoned collateral teams, then securitizes portfolios to recycle capital. Streamlined portals and proactive workouts keep defaults low, giving brokers reliable “yeses” while borrowers preserve cash and grow.",AI scorecards for B/C credits; partner POS portal; ABS securitization engine; GPS/telematics asset tracking; multi-state titling automation,Not Specified,Not Specified
465,Travel Chapter,travelchapter.com,437,"UK cottage owners and holiday-makers are fragmented across dozens of local sites and OTAs. Travel Chapter aggregates 12,000+ properties under brands such as HolidayCottages & Canine Cottages, handles marketing, dynamic pricing, housekeeping, and guest services end-to-end. Owners earn more with 52-week occupancy forecasting while guests get fully vetted homes, flexible booking, and on-call support. A central data lake feeds yield algorithms that balance rate, seasonality, and regional demand—turning disparate second homes into a nationally discoverable portfolio that competes with global platforms without losing local character.",Multi-brand booking engine; AI yield & revenue management; Salesforce-based owner CRM; PWA mobile guest app; 360° virtual-tour content studio,Not Specified,Not Specified
466,TrueSpeed,truespeed.com,127,"Rural Somerset villages were stuck on decades-old copper, capping work-from-home speeds at <35 Mbps and hurting local economies. TrueSpeed builds and operates a gigabit-capable XGS-PON fibre network, guaranteed symmetrical speeds and lifetime price freezes. Community hubs receive free 1 Gb connections; smart-home, security and tele-health devices finally run reliably. Automated OSS/BSS lets installs happen in days, not months, so households and SMEs escape digital blackspots without moving away.",XGS-PON full-fibre access; cloud-native OSS/BSS; Wi-Fi 6 mesh gateways; slack-loop aerial deployment; self-service customer portal,Not Specified,Not Specified
79,Northern Refrigerated Transport,northernrefrigerated.com,350,"Grocers and CPG shippers lose product and shelf life when cold-chain carriers miss precise multi-stop windows. NRT operates a West-Coast LTL and truck-load fleet with 24/7 temp-controlled hubs, IoT probe tracking, and driver teams trained to manage produce, dairy, and pharma tolerances. Real-time ELD data feeds customer portals, giving shippers live temp and ETA visibility, reducing spoilage, OS&D claims, and dwell penalties.",Telematics-linked reefer sensors; TMS with dynamic multi-stop routing; ELD compliance platform; warehouse WMS links; customer web-trace portals,LeadIQ,Multi 2dary
467,Choreograph (WPP),choreograph.com,3000,"Global brands overspend because audience data, clean rooms and media planning live in silos. Choreograph merges WPP’s data, ID graph and generative-AI models into a single platform that ingests first-, second- and retail-media signals, builds privacy-safe segments, predicts reach/lift and pipes them straight into GroupM activation. Marketers finally plan, buy, and measure in one currency, cutting waste and surfacing incremental ROAS opportunities across 80+ markets.",Open Media Studio; deterministic & probabilistic ID graph; federated clean-room APIs; AutoML media mix modeller; real-time optimization engine,Not Specified,Not Specified
468,Adswerve,adswerve.com,238,"Enterprise marketers struggle to turn raw GMP & Adobe data into growth. Adswerve’s 250+ consultants architect cloud pipelines, build BigQuery models and bespoke dashboards, then run programmatic media that continuously learns from those insights. Clients like Alaska Airlines tie spend to bookings in hours, not weeks, and in-house teams upskill via Adswerve’s enablement academy.",BigQuery & Looker analytics fabric; DV360 custom-bidding scripts; GA4 event stitching; Adobe AEP integrations; server-side tag-management,Not Specified,Not Specified
469,Avalere Health,avalere.com,1341,"Life-science, payer and provider executives need policy, reimbursement and evidence strategies that keep pace with fast-moving regulation. Avalere fuses deep Hill intelligence, real-world data science and market-access modelling to forecast impacts, shape narratives and quantify value—so drugs, devices and payment models launch compliantly and profitably worldwide.",CMS & FDA policy simulators; claims/EHR data lake; HEOR analytics; machine-learning patient-journey mapping; scenario-based pricing models,Not Specified,Not Specified
470,Mill Computer Support,millsupport.co.uk,15,"Micro-manufacturers around Leeds rely on ageing PCs and ad-hoc backups that stall production and invite ransomware. Mill Support delivers fixed-fee managed IT—24/7 RMM, Microsoft 365 tenancy, image-based backup and rapid hardware swap—freeing owners to focus on machining, not malware.",RMM/patch fleet; SentinelOne EDR; Veeam onsite-to-cloud backups; Azure AD & Intune; VoIP/Teams integration,Not Specified,Not Specified
471,Major League Soccer,mlssoccer.com,912,"Fans, clubs and sponsors lacked a single digital front door for North American soccer. MLSsoccer.com, the Apple Season Pass SDK and SAP data hub deliver every match, stat and highlight globally, while real-time betting, fantasy and ecommerce layers unlock new revenue for the league and its 30 clubs.",Apple Season Pass streaming; SAP HANA analytics; Hawk-Eye VAR; personalized CMS; AWS fan-engagement APIs,Not Specified,Not Specified
472,Hyatus Living,hyatus.com,36,"Travel nurses, project teams and relocating families need turnkey housing without hotel prices or 12-month leases. Hyatus master-leases Class-A apartments, layers IoT locks, 24/7 remote support and medical-grade cleaning, then rents flexibly by month. Hosts lift occupancy; guests gain reliable, design-forward space that bills to insurance or corporate cards easily.",Smart-lock & sensor stack; dynamic pricing engine; housekeeping logistics app; tenant experience portal; API-ready insurance billing,Not Specified,Not Specified
473,Strativen,strativen.com,20,"Mid-sized manufacturers overspend on direct materials because supplier performance data is locked in spreadsheets. Strativen’s consulting + SaaS visualizes cost, quality and delivery metrics, identifies consolidation savings and guides strategic sourcing—cutting 5-12 % from COGS without head-count growth.",Supplier-scorecard BI; spend-cube analytics; eRFQ workflow; Lean-six-sigma playbooks; PowerBI executive dashboards,Not Specified,Not Specified
